,kind,link,name,pitch,joined,location,market,size,stage,raised,website,years,annual_raised,raised_2mil,raised_12mil,size_numeric,followers,following,tweets
0,Startup,https://angel.co/company/drchrono,DrChrono,"
On a mission to fix healthcare
",2/1/2011,Sunnyvale,Medical Devices,51-200,Series A,48725000,drchrono.com,9.317808219,5229234.049,1,1,125,9659,10604,8087
1,Startup,https://angel.co/company/classpass,ClassPass,"
One app for the best fitness classes
",7/1/2011,Sydney,Fitness,501-1000,Series C,84000000,classpass.com,8.906849315,9430944.325,1,1,750,31033,8157,58084
2,Startup,https://angel.co/company/fabricgenomics,Fabric Genomics,"
Global healthcare platform for genomics-driven precision medicine, proven AI algorithms
",7/1/2013,Oakland,Bioinformatics,Nov-50,Series B,23000000,fabricgenomics.com,6.904109589,3331349.206,1,1,25,0,0,0
3,Startup,https://angel.co/company/chewse,Chewse,"
Provides hassle-free, locally-sourced, delicious food, delivered straight to your door
",1/1/2012,Austin,Hospitality,51-200,Series B,16000000,chewse.com,8.402739726,1904140.854,1,1,125,1531,1313,1656
4,Startup,https://angel.co/company/syapse,Syapse,"
Powering precision medicine with insights from a global oncology network
",2/1/2012,Radnor,Bioinformatics,51-200,Series C,59500000,syapse.com,8.317808219,7153326.746,1,1,125,1705,254,1676
5,Startup,https://angel.co/company/lark-3,Lark,"
Lark's AI digital care platform enables virtual management of diabetes and heart disease
",6/1/2013,Silicon Valley,Consumer Electronics,51-200,Series C,71700000,lark.com,6.98630137,10262941.18,1,1,125,551,1546,6214
6,Startup,https://angel.co/company/quest-analytics,Quest Analytics,"
Powering the healthcare market with validated doctor data
",4/1/2012,Kansas City,Big Data Analytics,51-200,Acquired,24125000,betterdoctor.com,8.153424658,2958879.368,1,1,125,0,0,0
7,Startup,https://angel.co/company/benchling,Benchling,"
Informatics platform to accelerate, measure, and forecast R&D from discovery through bioprocessing
",8/1/2012,San Francisco,Synthetic Biology,51-200,Series C,61900000,benchling.com,7.819178082,7916433.076,1,1,125,6223,1959,3347
8,Startup,https://angel.co/company/flatiron-health,Flatiron Health,"
 Accelerating cancer research and improving patient care
",9/1/2012,New York City,Health Care Information Technology,501-1000,Series A,328000000,flatiron.com,7.734246575,42408784.98,1,1,750,0,0,0
9,Startup,https://angel.co/company/gauss-surgical-1,Gauss Surgical,"
AI-Enabled Platform for Surgery
",9/1/2013,Menlo Park,Computer Vision,Nov-50,Series C,38026000,gausssurgical.com,6.734246575,5646659.886,1,1,25,0,0,0
10,Startup,https://angel.co/company/humanapi,Human API,"
The easiest way for consumers to connect & share health data with any company
",5/1/2013,San Mateo,Real Time,Nov-50,Series A,16624982,humanapi.co,7.071232877,2351072.619,1,1,25,0,0,0
11,Startup,https://angel.co/company/ubiome,uBiome,"
Big Data from Bacteria
",3/1/2013,San Francisco,Big Data,201-500,Series C,104500000,ubiome.com,7.238356164,14436979.56,1,1,350,32334,18387,6351
12,Startup,https://angel.co/company/act-md,Activate Care,"
It takes a community
",8/1/2014,Boston,Health Care Information Technology,Nov-50,Series A,8400000,activatecare.com,5.819178082,1443502.825,1,0,25,0,0,0
13,Startup,https://angel.co/company/bright-md,Bright.md,"
Automating $150 billion of care delivery
",12/1/2013,Portland,Mobile Health,Nov-50,Series B,11500000,bright.md,6.484931507,1773341.783,1,0,25,0,0,0
14,Startup,https://angel.co/company/amino-inc,Amino,"
Amino is a healthcare financial wellness benefit for mid-sized and large employers
",4/1/2014,San Francisco,Small and Medium Businesses,Nov-50,Seed,46150000,amino.com,6.153424658,7499888.691,1,1,25,0,0,0
15,Startup,https://angel.co/company/whoop,WHOOP,"
Whoop is a performance optimization system for elite athletes and teams
",7/1/2015,Boston,Fitness,51-200,Series C,47000000,whoop.com,4.904109589,9583798.883,1,1,125,20161,248,10917
16,Startup,https://angel.co/company/docsapp,DocsApp,"
Making quality healthcare easily accessible to over a billion people! 
",10/1/2015,Bengaluru,Artificial Intelligence,201-500,Series A,8400000,docsapp.in,4.652054795,1805653.71,1,0,350,23,67,94
17,Startup,https://angel.co/company/virta-health,Virta Health,"
The first and only clinically-proven treatment to reverse type 2 diabetes w/o drugs or surgery
",4/1/2016,San Francisco,Healthcare,51-200,Series C,175000000,virtahealth.com,4.150684932,42161716.17,1,1,125,0,0,0
18,Startup,https://angel.co/company/titanfile,TitanFile,"
The easiest and most comprehensive way to correspond and share files in total security
",5/1/2011,Toronto,Insurance,10-Jan,Seed,1350000,titanfile.com,9.073972603,148777.1739,0,0,5,754,625,2171
19,Startup,https://angel.co/company/cureatr,Cureatr,"
Mobile Care Coordination
",6/1/2014,New York City,Health Care Information Technology,Nov-50,Series A,6125000,cureatr.com,5.98630137,1023169.336,1,0,25,556,428,943
20,Startup,https://angel.co/company/sickweather,Sickweather,"
Waze for sickness
",11/1/2011,Baltimore,Mobile Health,10-Jan,Seed,870000,sickweather.com,8.569863014,101518.5422,0,0,5,3409,941,6094
21,Startup,https://angel.co/company/agilemd,AgileMD,"
EHR-integrated pathways, analytics, and scoring tools
",3/1/2012,San Francisco,Health Care Information Technology,10-Jan,Seed,2500000,agilemd.com,8.238356164,303458.5966,1,0,5,482,95,233
22,Startup,https://angel.co/company/digitalmr,DigitalMR,"
Next Generation Market Research
",3/1/2014,London,Fast-Moving Consumer Goods,Nov-50,Seed,1020000,digital-mr.com,6.238356164,163504.6113,0,0,25,4563,4298,6113
23,Startup,https://angel.co/company/happier,Happier,"
Focusing on the positive and staying connected to people you care about makes you happier
",1/1/2013,Boston,Personal Health,10-Jan,Seed,4400000,happier.com,7.4,594594.5946,1,0,5,14416,857,9799
24,Startup,https://angel.co/company/meludia,Meludia,"
Musical Brain Training
",8/1/2013,Paris,Music Education,Nov-50,Seed,888350,meludia.com,6.819178082,130272.2981,0,0,25,0,3,3
25,Startup,https://angel.co/company/tute-genomics,Tute Genomics,"
Cloud-based Genome Analysis for Precision Medicine
",3/1/2013,Provo,Startups,Nov-50,Acquired,7700000,tutegenomics.com,7.238356164,1063777.441,1,0,25,0,0,0
